scenario,iteration,source,fixed_style_improvement_pct,unseen_style_improvement_pct,atlas_fixed_style_distance,atlas_unseen_style_distance,fixed_leakage_ratio,unseen_leakage_ratio,hdr_structure_ratio,fixed_multiview_ratio,unseen_multiview_ratio,fixed_patch_ratio,unseen_patch_ratio,fixed_boundary_leakage_ratio,uv_collision_rate,inter_chart_overlap_rate,uv_foldover_rate,atlas_occupancy,padding_violation_rate,chart_seam_energy,uv_distortion,reference_gradient_retention,automatic_pass,accepted,failed_numeric_gates
bicycle_starry,400,PROJECT_ROOT/outputs/atlas_v14_paired_400_20260815,2.7758974495116178,2.7081393282826816,1.0266765306393306,1.0287819504737854,0.9334841858618486,0.9345061146551895,0.9480556285588507,0.9580367768267205,0.9658447890358336,1.0007595403040888,1.0030102951504982,0.8444675252723209,0.004003576003015041,0.0,0.003204345703125,0.8686341643333435,0.0,0.010827012360095978,0.05320950224995613,1.1285603046417236,True,True,
bicycle_starry,2000,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815,0.8182674742501629,0.8249632941010673,1.0035904745260875,1.004174495736758,1.017422722913806,1.0203054444073694,0.8606665844115167,0.9930522216405635,0.9981201024979555,0.9976589230637705,0.9988693742116591,0.9904326034775125,0.0022298141848295927,0.0,0.0042724609375,0.8686341643333435,0.0,0.00854939129203558,0.06676910072565079,1.1962229013442993,False,True,"fixed_style_1pct,unseen_style_1pct"
bicycle_sunflowers,400,PROJECT_ROOT/outputs/atlas_v14_paired_400_20260815,5.266292591715811,5.269319572926426,1.0399261713027954,1.0410768166184425,1.0565425354890594,1.0541697985464338,0.9346462716459201,0.954326584343886,0.9525905916932164,1.0397874089323405,1.0409812451129266,1.0243512074751495,0.004292139783501625,0.0,0.003631591796875,0.8686341643333435,0.0,0.00937463715672493,0.052020955830812454,1.2738726139068604,True,True,
bicycle_sunflowers,2000,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815,6.1199726275324435,6.141761462051908,1.0075074086586635,1.0082640647888184,1.0466832612925372,1.0433277684655378,0.8636837892157344,0.9541083717550674,0.9528770964186105,1.0392555375839936,1.037706761262675,1.0342236338980415,0.0025647906586527824,0.0,0.004364013671875,0.8686341643333435,0.0,0.006738666445016861,0.06249700114130974,1.392547369003296,True,True,
stump_starry,400,PROJECT_ROOT/outputs/atlas_v14_paired_400_20260815,1.2105377322543165,1.166704276396747,1.0798669755458832,1.0801148116588593,1.0498509249295338,1.049789463788255,0.9764937444729286,0.988222528834175,0.989246979432566,1.0012226121551835,1.0072447871329198,0.9808563581057902,0.0061820754781365395,0.0,0.004730224609375,0.8228321075439453,0.0025176277849823236,0.016789814457297325,0.03094429522752762,1.0702978372573853,True,True,
stump_starry,500,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815/stump_starry/checkpoint_audit/000500,1.1566526523190002,1.1407174358655987,1.0725396424531937,1.0729997530579567,1.0377530133652744,1.0377929762505853,0.9781970232266352,0.9861848701384476,0.9842188392899383,1.0065089779247571,1.0118236019357907,0.9717131736837805,0.005877451505511999,0.0,0.0050048828125,0.8228321075439453,0.0025176277849823236,0.014905122108757496,0.034202151000499725,1.0803442001342773,False,False,uv_foldover_half_pct
stump_starry,1000,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815/stump_starry/checkpoint_audit/001000,0.9161078890632472,0.9388170000578098,1.0616129040718079,1.0613285042345524,1.006935910491699,1.0075889435480745,0.9767731887224977,1.0004142367103341,1.0017649404040176,1.0227276689579778,1.0284745389918921,0.9649805207276073,0.004757510498166084,0.0,0.004730224609375,0.8228321075439453,0.0025176277849823236,0.010999090038239956,0.0416051521897316,1.1096460819244385,False,False,"fixed_style_1pct,unseen_style_1pct,fixed_multiview_no_worse,unseen_multiview_no_worse"
stump_starry,1500,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815/stump_starry/checkpoint_audit/001500,0.5762529314323025,0.6154536960014115,1.0584852620959282,1.0582419857382774,1.0037462651770792,1.0045707016838932,0.977382511791444,1.0034262157282847,1.0063004605852404,1.0298869003075408,1.0336778196143364,0.9701333763273239,0.00399595033377409,0.0,0.005126953125,0.8228321075439453,0.0025176277849823236,0.009365076199173927,0.045279450714588165,1.1235793828964233,False,False,"fixed_style_1pct,unseen_style_1pct,fixed_multiview_no_worse,unseen_multiview_no_worse,uv_foldover_half_pct"
stump_starry,2000,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815,0.6800280134435426,0.7027793572441446,1.0536859259009361,1.0536461398005486,1.0022734866255147,1.002877191416215,0.9694165353306134,1.0116636781443653,1.014349555474098,1.0289235130378527,1.0335377802808592,0.97500040691989,0.0034494190476834774,0.0,0.00518798828125,0.8228321075439453,0.0025176277849823236,0.00872737355530262,0.0473954863846302,1.1329163312911987,False,False,"fixed_style_1pct,unseen_style_1pct,fixed_multiview_no_worse,unseen_multiview_no_worse,uv_foldover_half_pct"
bulldozer_starry,400,PROJECT_ROOT/outputs/atlas_v14_paired_400_20260815,0.781254986370647,0.6994071782123604,1.0238623768091202,1.0244121626019478,0.8368489041159688,0.8405566552841408,0.8941553031491811,0.9865765889064664,0.993747873144221,0.9654274322431226,0.9704424850315896,0.7933133447770501,0.007872126065194607,0.0,0.003631591796875,0.7895520925521851,0.00043416660628281534,0.016640542075037956,0.022674016654491425,1.0566787719726562,False,True,"fixed_style_1pct,unseen_style_1pct"
bulldozer_starry,2000,PROJECT_ROOT/outputs/atlas_v15_formal_2000_20260815,0.7116810635826385,0.7491311218884127,0.9806799069046974,0.9804779887199402,0.9063261128214529,0.9097200627699374,0.9025960551124294,0.9939304357956962,0.9960953935228916,0.93501918770022,0.937099844328533,0.9133417593104768,0.003918925300240517,0.0,0.00482177734375,0.7895520925521851,0.00043416660628281534,0.007745040114969015,0.034266531467437744,1.1074515581130981,False,True,"fixed_style_1pct,unseen_style_1pct"
