scenario,baseline,fixed_style_improvement_pct,unseen_style_improvement_pct,fixed_content_ratio,unseen_content_ratio,fixed_leakage_ratio,unseen_leakage_ratio,hdr_structure_ratio,fixed_multiview_ratio,unseen_multiview_ratio,fixed_patch_ratio,unseen_patch_ratio
bicycle_starry,dc,9.00942681754448,8.822831184149166,11.659706504121852,11.660168210441118,0.7559576744221909,0.7547603466837546,48408214041.65278,1.0117816612279316,1.0181224816910255,0.9897700127907045,0.9893086840571754
bicycle_starry,full_sh,7.7585136171552245,7.569352718669413,5.718576223840952,5.71880267060261,0.7301135981984284,0.7289572037428782,48408214041.65278,1.0052347847262997,1.011534576012762,0.9915005439922551,0.9910384086634996
bicycle_starry,pbr_only,7.51221387272714,7.40366237200959,2.9821945111088137,2.9429641665285935,1.5772846531645612,1.5847487546589527,0.8116821626438593,0.9741863170769515,0.9850511119301295,0.9999305046066872,1.0022027003084806
bicycle_sunflowers,dc,12.277862577534334,12.180800815565922,11.56028477031093,11.573909028551487,1.0474121761043853,1.0639685995081858,46611461691.403145,0.9702585739134352,0.9723466081097821,1.046492484024357,1.0487178647055684
bicycle_sunflowers,full_sh,11.343308185491436,11.245212368738082,5.377229636208792,5.383566916530002,1.0055450413795823,1.0214396718187586,46611461691.403145,0.9683936444981436,0.9704776652938388,1.0501921692050675,1.0524254173177734
bicycle_sunflowers,pbr_only,11.060323424772749,10.997623443399121,2.826973422264126,2.711236691559927,2.110981831944921,2.0827418343013337,0.7752337705803832,0.9594310732872176,0.963387445435984,1.0533740700930059,1.0580662551611137
stump_starry,dc,12.50142123688744,12.502032478330156,11.045988286715795,11.067437049747618,3.6580103992480035,3.6697448967790565,23770474401.92352,0.9610797748963069,0.9605181646714951,0.907741311851357,0.9137788715399414
stump_starry,full_sh,11.59439095119936,11.595008528910714,5.725442258880441,5.736559747970195,3.446404052624123,3.457459740124312,23770474401.92352,0.973495984281122,0.9729271186022614,0.9003984324407284,0.9063871532452069
stump_starry,pbr_only,10.793770396077502,10.669375192714647,3.1311455862979485,3.11520040316307,5.24649622148425,5.181994581493119,0.7722072884929756,0.9659031224376394,0.9633856363399328,0.908604820057646,0.9218812359611592
bulldozer_starry,dc,16.8752803489876,16.838141883261468,71.73441275129989,71.980008188704,0.557029286714958,0.5666158108979736,50681024401.75911,1.0429985868330458,1.038199115471332,0.8719593981640394,0.8742300033106607
bulldozer_starry,full_sh,15.296552053510595,15.258708243490508,19.175594474711097,19.241245510690554,0.5506765879693136,0.5601537816348771,50681024401.75911,1.0436365617493375,1.0388341546767044,0.8635063664257282,0.8657549596559576
bulldozer_starry,pbr_only,14.161882265488286,14.189030211467117,3.310475177092205,3.294144900105986,2.1156108460338956,2.12185008930663,0.8329789320768417,1.0298836956967994,1.0242150266552708,0.8592449857676735,0.8623459161891633
