experiment,render_mode,fixed/style_distance_mean,unseen_hdr/style_distance_mean,fixed/content_distance_mean,fixed/outside_leakage_mean,unseen_hdr/outside_leakage_mean,unseen_hdr/texture_structure_distance_mean,fixed/overlap_aware_adjacent_patch_consistency,unseen_hdr/overlap_aware_adjacent_patch_consistency
bicycle_starry,albedo,1.086915562550227,1.086915562550227,0.546157032251358,0.0035447385356140635,0.0035447385356140635,0.0,0.8052044153213501,0.8052044153213501
bicycle_starry,diffuse_only,1.0701581041018169,1.072150597969691,0.5456600412726402,0.0032613577980858586,0.003293528667806337,0.028750440425937995,0.8080137014389038,0.8086582243442535
bicycle_starry,pbr,1.0698493123054504,1.0711340755224228,0.5270539075136185,0.002853733031467224,0.0028491709866405777,0.05859640244549761,0.8103869318962097,0.8086375176906586
stump_starry,albedo,1.1285013854503632,1.1285013854503632,0.6551680564880371,0.004007011448265985,0.004007011448265985,0.0,0.663091242313385,0.663091242313385
stump_starry,diffuse_only,1.0908784717321396,1.0908413156867027,0.6597901880741119,0.004249581921612844,0.004286854396923445,0.009465995855862275,0.6658946871757507,0.6655574313231877
stump_starry,pbr,1.099849596619606,1.0998365134000778,0.6520034670829773,0.003874195826938376,0.0038823512149974704,0.029648747062310576,0.669836265700204,0.6685719064303807
bulldozer_starry,albedo,1.0846055895090103,1.0846055895090103,0.6075678393244743,0.001523730781627819,0.001523730781627819,0.0,0.5750263461044857,0.5750263461044857
bulldozer_starry,diffuse_only,1.0510604232549667,1.0545979514718056,0.6095441058278084,0.0014598722336813807,0.0014964658039389178,0.030315360374515876,0.5642303781849998,0.564783547605787
bulldozer_starry,pbr,1.0465832352638245,1.0473382771015167,0.6042600870132446,0.0012930403609061614,0.0013119026916683652,0.06768616032786667,0.5643853162016187,0.5666227851595197
