scenario,tri_fixed_style,atlas_fixed_style,fixed_style_improvement_pct,tri_unseen_style,atlas_unseen_style,unseen_style_improvement_pct,tri_fixed_leakage,atlas_fixed_leakage,fixed_leakage_ratio,tri_unseen_leakage,atlas_unseen_leakage,unseen_leakage_ratio,tri_hdr_structure,atlas_hdr_structure,hdr_structure_ratio,tri_fixed_multiview_std,atlas_fixed_multiview_std,fixed_multiview_ratio,tri_unseen_multiview_std,atlas_unseen_multiview_std,unseen_multiview_ratio,legacy_fixed_multiview_no_worse,legacy_unseen_multiview_no_worse,fixed_style_visual_override,unseen_style_visual_override,patch_consistency_metric,tri_fixed_adjacent_patch,atlas_fixed_adjacent_patch,fixed_adjacent_patch_ratio,tri_unseen_adjacent_patch,atlas_unseen_adjacent_patch,unseen_adjacent_patch_ratio,fixed_boundary_leakage_ratio,atlas_fixed_patch_match_distance,atlas_fixed_lab_mean_distance,atlas_fixed_lab_covariance_distance,atlas_uv_collision_rate,atlas_intra_chart_collision_rate,atlas_inter_chart_overlap_rate,atlas_uv_foldover_rate,atlas_occupancy,atlas_padding_violation_rate,atlas_chart_seam_energy,atlas_uv_distortion,atlas_reference_gradient_retention,gate_fixed_style_1pct,gate_unseen_style_1pct,gate_fixed_leakage_10pct,gate_unseen_leakage_10pct,gate_hdr_structure_5pct,gate_fixed_multiview_no_worse,gate_unseen_multiview_no_worse,gate_fixed_overlap_patch_5pct,gate_unseen_overlap_patch_5pct,gate_fixed_boundary_leakage_10pct,gate_inter_chart_overlap_zero,gate_uv_foldover_half_pct,gate_padding_violation_2pct,gate_reference_gradient_80pct,automatic_gates_pass,acceptance_gates_pass
bicycle_starry,1.0559897224108379,1.0266765306393306,2.7758974495116178,1.0574183116356533,1.0287819504737854,2.7081393282826816,0.0028957788405629494,0.0027031637534188726,0.9334841858618486,0.0028880306830008826,0.002698882332576128,0.9345061146551895,0.051060520694591105,0.048408214041652776,0.9480556285588507,0.007395511493086815,0.007085171993821859,0.9580367768267205,0.007381698116660118,0.0071295746602118015,0.9658447890358336,True,True,False,False,overlap_aware_adjacent_patch_consistency,0.8237168073654175,0.8243424534797669,1.0007595403040888,0.8214853167533874,0.8239582300186157,1.0030102951504982,0.8444675252723209,0.9635245551665624,0.01382212406800439,0.014747491727272669,0.004003576003015041,0.004003576003015041,0.0,0.003204345703125,0.8686341643333435,0.0,0.010827012360095978,0.05320950224995613,1.1285603046417236,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
bicycle_sunflowers,1.0977361698945363,1.0399261713027954,5.266292591715811,1.0989858955144882,1.0410768166184425,5.269319572926426,0.003601479208252082,0.003805115974197785,1.0565425354890594,0.0036666421025680998,0.0038652633666060865,1.0541697985464338,0.049870697723235935,0.04661146169140314,0.9346462716459201,0.007399005349725485,0.0070610675029456615,0.954326584343886,0.007428441196680069,0.007076263194903731,0.9525905916932164,True,True,False,False,overlap_aware_adjacent_patch_consistency,0.8173121452331543,0.8498308777809143,1.0397874089323405,0.818110853433609,0.8516380548477173,1.0409812451129266,1.0243512074751495,0.9959088762601217,0.030145397720237572,0.0058600782649591565,0.004292139783501625,0.004292139783501625,0.0,0.003631591796875,0.8686341643333435,0.0,0.00937463715672493,0.052020955830812454,1.2738726139068604,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
stump_starry,1.0930993556976318,1.0798669755458832,1.2105377322543165,1.0928653180599213,1.0801148116588593,1.166704276396747,0.0038022284279577434,0.003991773031884804,1.0498509249295338,0.0038105843996163458,0.004000311353593133,1.049789463788255,0.026569079142063856,0.02594453957863152,0.9764937444729286,0.006257174536585808,0.006183480843901634,0.988222528834175,0.006243911338970065,0.006176770431920886,0.989246979432566,True,True,False,False,overlap_aware_adjacent_patch_consistency,0.6683952808380127,0.6692124690328326,1.0012226121551835,0.6662115156650543,0.6710380762815475,1.0072447871329198,0.9808563581057902,1.0200417339801788,0.018420144799165428,0.013949808315373957,0.0061820754781365395,0.0061820754781365395,0.0,0.004730224609375,0.8228321075439453,0.0025176277849823236,0.016789814457297325,0.03094429522752762,1.0702978372573853,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
bulldozer_starry,1.0319243371486664,1.0238623768091202,0.781254986370647,1.0316274389624596,1.0244121626019478,0.6994071782123604,0.0010551806044531986,0.0008830267324810848,0.8368489041159688,0.0010761499906948302,0.0009045650367625058,0.8405566552841408,0.06336406501941383,0.0566573147661984,0.8941553031491811,0.004674925468862057,0.004612172022461891,0.9865765889064664,0.004633392207324505,0.004604423651471734,0.993747873144221,True,True,True,True,overlap_aware_adjacent_patch_consistency,0.5843125411442348,0.5641113562243325,0.9654274322431226,0.5843584963253566,0.5670863113233021,0.9704424850315896,0.7933133447770501,0.9777193441987038,0.012295458931475878,0.012154613505117595,0.007872126065194607,0.007872126065194607,0.0,0.003631591796875,0.7895520925521851,0.00043416660628281534,0.016640542075037956,0.022674016654491425,1.0566787719726562,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
